KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
txt_OOi8c,"Ok, this seems to be the container. Let's look inside.",,,,,,,,,,,,,,,,
txt_m80oi,Investigate,,,,,,,,,,,,,,,,
txt_W8e6u,Check the container's content,,,,,,,,,,,,,,,,
txt_KWOe0,There is a pile of cloth and there is... really only a stick! \n\nThis is the [c][ffffff]Staff of Guidance[-][/c]?,,,,,,,,,,,,,,,,
txt_Oiq0q,Foreign Intel,,,,,,,,,,,,,,,,
txt_oa4W0,Escape from the mining facility,,,,,,,,,,,,,,,,
txt_uOOmS,Escape,,,,,,,,,,,,,,,,
txt_mOeiS,Make your way to your vessel,,,,,,,,,,,,,,,,
txt_ueuCu,[i][c][ff0000][Zirax Trooper][-][/c][c][ff8080] YOU over there! What are you doing here? Freeze![-][/c][/i],,,,,,,,,,,,,,,,
txt_q8quK,Powers of the Past,,,,,,,,,,,,,,,,
txt_00m4O,Find answers in the guts of the planet remnant asteroid,,,,,,,,,,,,,,,,
txt_CAYeS,Find the Planetary Remnant,,,,,,,,,,,,,,,,
txt_Coiie,Find the Planet Remnant,,,,,,,,,,,,,,,,
txt_4KGiO,"The same station we just escaped from... just a little bit more menacing. \nLet's see if the Staff of Guidance will lead us through this.\n\nWe'll [c][ffff80]land on the lower pad[-][/c] this time,\nnext to the perimeter beacon.",,,,,,,,,,,,,,,,
txt_Swi4m,Powers of the Past,,,,,,,,,,,,,,,,
txt_W00ie,Check the Control Room,,,,,,,,,,,,,,,,
txt_0K2am,Check the Perimeter Beacon,,,,,,,,,,,,,,,,
txt_U8WWW,Land on the lower landing pad,,,,,,,,,,,,,,,,
txt_4iqO8,"I suggest we start up in the control room. \n\nHopefully there are some data notes we can access, IDA?",,,,,,,,,,,,,,,,
txt_eeK0V,Check the Control Room,,,,,,,,,,,,,,,,
txt_mG0e6,Proceed up to the control room,,,,,,,,,,,,,,,,
txt_WSq0W,[c][00ffff][IDA][-][/c] An access terminal should be somewhere on the upper levels.,,,,,,,,,,,,,,,,
txt_Omkq4,Powers of the Past,,,,,,,,,,,,,,,,
txt_KSCem,Find the data nodes,,,,,,,,,,,,,,,,
txt_WW80m,Find the terminal,,,,,,,,,,,,,,,,
txt_4Kemi,Find the terminal on the upper level,,,,,,,,,,,,,,,,
txt_W4Ger,Powers of the Past,,,,,,,,,,,,,,,,
txt_5WuK9,Find a way down to the mine shaft,,,,,,,,,,,,,,,,
txt_uaGUq,So .. the Zirax and the Talon share some history?\nAnd the proof is hidden down below in this asteroid?\n\nOk... [c][ffff00]downstairs [-][/c]again.,,,,,,,,,,,,,,,,
txt_4eK1K,Go to the mine shaft,,,,,,,,,,,,,,,,
txt_m08Oe,Go to the mine shaft entrance,,,,,,,,,,,,,,,,
txt_0W4Ce,Powers of the Past,,,,,,,,,,,,,,,,
txt_TeOqm,Descend into mine,,,,,,,,,,,,,,,,
txt_SremW,Descend into the mine,,,,,,,,,,,,,,,,
txt_8OO0e,"Oh, how convenient. Someone has put some [c][ffff80]lights to mark the way[-][/c]. \n\nFollow the red string, down into the abyss.",,,,,,,,,,,,,,,,
txt_K0BaK,Powers Of The Past,,,,,,,,,,,,,,,,
txt_AS4Sa,Follow the red string,,,,,,,,,,,,,,,,
txt_40SuG,Follow the red lights,,,,,,,,,,,,,,,,
txt_GOWe4,Follow the red string,,,,,,,,,,,,,,,,
txt_imQa0,These materials. The inscriptions. \n\nVery familiar.,,,,,,,,,,,,,,,,
txt_C8KOc,Powers Of The Past,,,,,,,,,,,,,,,,
txt_mOe08,Powers Of The Past,,,,,,,,,,,,,,,,
txt_COCuG,Powers Of The Past,,,,,,,,,,,,,,,,
txt_CSEKK,Follow the red lights,,,,,,,,,,,,,,,,
txt_e8mim,Follow the red string,,,,,,,,,,,,,,,,
txt_mKq0u,Follow the red lights,,,,,,,,,,,,,,,,
txt_4OIJq,Follow the red string,,,,,,,,,,,,,,,,
txt_OuS4a,A subterranean facility? \n\nWhat are these Zirax and creatures doing down here?,,,,,,,,,,,,,,,,
txt_SqCa8,Follow the red lights,,,,,,,,,,,,,,,,
txt_SOS4i,Follow the red lights,,,,,,,,,,,,,,,,
txt_iui0m,Definitely not a military compound. \n\nSome sort of a ... temple? An ancient worshiping place?,,,,,,,,,,,,,,,,
txt_ueCCW,Powers of the Past,,,,,,,,,,,,,,,,
txt_W8W0e,Follow the red lights,,,,,,,,,,,,,,,,
txt_cuI1S,Follow the red lights,,,,,,,,,,,,,,,,
txt_KxSA4,[c][00ffff][IDA] [-][/c]I am reading extremely high energy fluctuations ... and ... someone is trying to access my databases!\n\n The info I managed to decode has some ... interesting implications.,,,,,,,,,,,,,,,,
txt_uS8Gu,Powers of the Past,,,,,,,,,,,,,,,,
txt_0Ci0C,Enter the AI Core,,,,,,,,,,,,,,,,
txt_Oq8GG,Investigate room,,,,,,,,,,,,,,,,
txt_Smm0O,Investigate what lies ahead,,,,,,,,,,,,,,,,
txt_PW4m0,[c][00ffff][IDA][-][/c] The information we got indicates this is part of an ancient station ... of the so-called  [c][ffffff]Talon-Zirax Assembly[-][/c]!\n  \nWhat lies in front of you seems to be one of the sections with the AI core and some databases.,,,,,,,,,,,,,,,,
txt_e4m8e,Powers of the Past,,,,,,,,,,,,,,,,
txt_jU8qq,Talk to the AI,,,,,,,,,,,,,,,,
txt_qna0i,Activate the AI and gather all available data,,,,,,,,,,,,,,,,
txt_GKiFO,Powers of the Past,,,,,,,,,,,,,,,,
txt_6iagq,Check Panel 1,,,,,,,,,,,,,,,,
txt_umqee,Read carefully,,,,,,,,,,,,,,,,
txt_GoCM4,[c][00ffff][IDA][-][/c] I am receiving a data stream with blueprints of the weapon described on the panel!,,,,,,,,,,,,,,,,
txt_aeiCe,Check Panel 2,,,,,,,,,,,,,,,,
txt_i4Guq,Read Carefully,,,,,,,,,,,,,,,,
txt_SCSmS,"[c][00ffff][IDA] [-][/c]I am receiving a secondary data stream. \n\nAgain, all construction details of the weapon described on the panel!",,,,,,,,,,,,,,,,
txt_mWaSG,Check Panel 3,,,,,,,,,,,,,,,,
txt_7heK4,Read carefully,,,,,,,,,,,,,,,,
txt_u08OS,IDA? I have a strong feeling that this information might change everyone's understanding of what happens here in Andromeda.,,,,,,,,,,,,,,,,
txt_mCC4G,Powers Of The Past,,,,,,,,,,,,,,,,
txt_SWOS4,[c][00ffff][IDA][-][/c] Indeed. I'm already analyzing the text on the displays.\n\nWe should [c][fbff00]head back to Sectioner32[-][/c] and deliver these weapon schematics.,,,,,,,,,,,,,,,,
txt_W0Kmi,Debriefing,,,,,,,,,,,,,,,,
txt_iGqCq,Talk to Sectioner32,,,,,,,,,,,,,,,,
txt_eKoiu,Activate Teleporter,,,,,,,,,,,,,,,,
txt_mOG44,Activate Teleporter,,,,,,,,,,,,,,,,
txt_iSEqu,Go to mine shaft,,,,,,,,,,,,,,,,
txt_40qCS,Go to Polaris Asteroid Mining Station,,,,,,,,,,,,,,,,
txt_K48Ca,Go to Polaris Asteroid Mining Station. The station can be found in the [c][fbff00]asteroid belt[-][/c] in this system!,,,,,,,,,,,,,,,,
txt_0qqsO,Debriefing,,,,,,,,,,,,,,,,
txt_C6DKK,Go to trading station again,,,,,,,,,,,,,,,,
txt_G408S,Back to Waystation,,,,,,,,,,,,,,,,
txt_C0Ke8,Back to Waystation,,,,,,,,,,,,,,,,
txt_CaOKn,IDA .. I have a feeling that we are not in this galaxy by any accident.,,,,,,,,,,,,,,,,
txt_80Oeg,Meet Sectioner32,,,,,,,,,,,,,,,,
txt_i8mWG,Meet Sectioner32,,,,,,,,,,,,,,,,
acttitleEpsilonA,Epsilon Base,,,,,,,,,,,,,,,,
actdescConquerAS,"Defeat an alien faction base by destroying the core! Notice: You must use projectile weapons to destroy its core - you cannot use explosives (e.g. rocket launcher, explosive device, etc)",,,,,,,,,,,,,,,,
acttitleXenuO,Xenu Base,,,,,,,,,,,,,,,,
acttitleGhostRM,Ghyst Base,,,,,,,,,,,,,,,,
acttitleRados,Rados Base,,,,,,,,,,,,,,,,
chptitleMiningC,Mining Corp,,,,,,,,,,,,,,,,
chpdescMiningC,Preparing an Assault means preparing the Basics. And the Basics are run by ores. Prepare your team and let's go!,,,,,,,,,,,,,,,,
tasktitleMiningCo,Mining Corp,,,,,,,,,,,,,,,,
acttitlePromMC,1000 Promethium Ore,,,,,,,,,,,,,,,,
actdescPromMC,Mine 1000 Promethium Ore. Buying from a marketplace or just having it in your inventory does not complete this Mission!,,,,,,,,,,,,,,,,
acttitleMagMC,1000 Magnesium Ore,,,,,,,,,,,,,,,,
actdescMagMC,Mine 1000 Magnesium Ore. Buying from a marketplace or just having it in your inventory does not complete this Mission!,,,,,,,,,,,,,,,,
acttitleCobaltMC,1000 Cobalt Ore,,,,,,,,,,,,,,,,
actdescCobaltMC,Mine 1000 Cobalt Ore. Buying from a marketplace or just having it in your inventory does not complete this Mission!,,,,,,,,,,,,,,,,
acttitleSathMC,500 Sathium Ore,,,,,,,,,,,,,,,,
actdescSathMC,Mine 500 Sathium Ore. Buying from a marketplace or just having it in your inventory does not complete this Mission!,,,,,,,,,,,,,,,,
acttitleNeoMC,500 Neodymium Ore,,,,,,,,,,,,,,,,
actdescNeoMC,Mine Neodymium Ore. Buying from a marketplace or just having it in your inventory does not complete this Mission!,,,,,,,,,,,,,,,,
chptitleGasStation,Gas Station,,,,,,,,,,,,,,,,
chpdescGasStation,Your team's battleships will need a lot of fuel for flying around and maybe a few Pentaxid warp crystals for traveling to other planets. Now it is the time to refuel and restock!,,,,,,,,,,,,,,,,
tasktitleGStation,Gas Station,,,,,,,,,,,,,,,,
acttitleGSlfp,Craft 1000 Large Fuel Packs,,,,,,,,,,,,,,,,
actdescGSlfp,Craft 1000 Large Fuel Packs. You'll need to mine or acquire 2500 Promethium Ore.,,,,,,,,,,,,,,,,
acttitleGSpenta,Craft 100 Pentaxid,,,,,,,,,,,,,,,,
actdescGSpenta,Craft 100 Pentaxid. You'll need to mine or acquire 100 Pentaxid (raw material).,,,,,,,,,,,,,,,,
chptitlePfBMedi,Prepare for Battle MEDICAL,,,,,,,,,,,,,,,,
chpdescPfBMedi,Get prepared for Bullets and Bites! Your team should always carry a few essential medics for use in bad situations in their backpacks.,,,,,,,,,,,,,,,,
tasktitlePfBMedical,Medical Preps,,,,,,,,,,,,,,,,
acttitleHealthPack,15x Health Pack,,,,,,,,,,,,,,,,
acttitleTraumaKit,10x Trauma Kit,,,,,,,,,,,,,,,,
acttitleDetoxKit,10x Detox Kit,,,,,,,,,,,,,,,,
acttitleDeconKit,5x Decontamination Kit,,,,,,,,,,,,,,,,
actdescDoctorsJournal,"For more Info about Status Effects, diseases and how to cure them, please read the DOCTOR'S JOURNAL in the Empyriopedia (F1)",,,,,,,,,,,,,,,,
chptitlePfBSupport,Prepare for Battle LIFE SUPPORT,,,,,,,,,,,,,,,,
chpdescPfBSupport,"Your group got all its Ammo and Medicals - but what if the battle takes longer than expected? Having some durable, less-perishable food and emergency oxygen in your backpack may decide about failure or success earlier than you might expect!",,,,,,,,,,,,,,,,
tasktitlePfBSupp,Life Support,,,,,,,,,,,,,,,,
acttitlePfBcannM,Cook 5x Canned Meat,,,,,,,,,,,,,,,,
actdescPfBcannM,Cook 5x Canned Meat in the Food Processor.,,,,,,,,,,,,,,,,
acttitlePfBcannV,Cook 5x Canned Vegetables.,,,,,,,,,,,,,,,,
actdescPfBcannV,Cook 5x Canned Vegetables in the Food Processor.,,,,,,,,,,,,,,,,
chptitleRaidApoi,Defeat Alien POIs,,,,,,,,,,,,,,,,
chpdescRaidApoi,Is your Group well prepared? Then go ahead and raid some well defended Bases of the Alien factions! Can you keep up with them?,,,,,,,,,,,,,,,,
tasktitleRaidAlienP,Defeat Alien POIs,,,,,,,,,,,,,,,,
txt_aqKi4,The Crashed Bird,,,,,,,,,,,,,,,,
txt_mquK8,Snow Planet,,,,,,,,,,,,,,,,
txt_40Oii,Find Wreckage,,,,,,,,,,,,,,,,
txt_s8uWx,The TITAN wreckage is located on the SNOW planet in the starter system. \nYou need a WARP-capable vessel (Small Vessel + Warpdrive + Pentaxid Tank + Pentaxid fuel).\nYour vessel should have weapons and turrets.,,,,,,,,,,,,,,,,
txt_gqiqS,It seems the Titan has broken into several parts...,,,,,,,,,,,,,,,,
txt_aK8GK,The Titan,,,,,,,,,,,,,,,,
txt_K0G4L,IDA,,,,,,,,,,,,,,,,
txt_qSGWG,===,,,,,,,,,,,,,,,,
txt_e8SO0,Wreckage,,,,,,,,,,,,,,,,
txt_KqweK,Me,,,,,,,,,,,,,,,,
txt_oSCGW,===,,,,,,,,,,,,,,,,
txt_m0Kg2,Knock Knock,,,,,,,,,,,,,,,,
txt_aCmG4,Find Outpost,,,,,,,,,,,,,,,,
txt_mmuqG,Approach the COM ARRAY. Make sure to clear the area before going inside.,,,,,,,,,,,,,,,,
txt_miS0G,[c][00ffff][IDA][-][/c] Get us close to a [c][ffff00]station console[-][/c] so I can have a look in their database.,,,,,,,,,,,,,,,,
txt_COWWC,Access Console,,,,,,,,,,,,,,,,
txt_0mqem,Go inside and approach the marked console.,,,,,,,,,,,,,,,,
txt_mCOO4,Knock Knock,,,,,,,,,,,,,,,,
txt_0SSe4,Radar Station,,,,,,,,,,,,,,,,
txt_O5Sa2,Core Room,,,,,,,,,,,,,,,,
txt_KC00K,Find the core room.,,,,,,,,,,,,,,,,
txt_uC4qG,Radar Station,,,,,,,,,,,,,,,,
txt_4a0q8,Teleporter,,,,,,,,,,,,,,,,
txt_4GCm4,There is another teleporter in this station. You need to find it. Look for a GREEN room and signs that indicate authorized access only.,,,,,,,,,,,,,,,,
txt_4AKKS,Knock Knock,,,,,,,,,,,,,,,,
txt_miQae,Mainframe,,,,,,,,,,,,,,,,
txt_qS8a0,Arrival,,,,,,,,,,,,,,,,
txt_OuGei,The Mainframe is hovering over ground. The teleporter brings you back to the Radar Station entry room. From there you can teleport back to the COM Station.,,,,,,,,,,,,,,,,
txt_4OuSS,[c][00ffff][IDA][-][/c]  Seems like that station has taken a beating already. \n\nLocate the [c][ffff00]main access switch and pull it[-][/c] to release the info.,,,,,,,,,,,,,,,,
txt_S8SGC,Mainframe,,,,,,,,,,,,,,,,
txt_SS408,Release Info,,,,,,,,,,,,,,,,
txt_aCi4O,Find the lever and pull it to release the blocked message.,,,,,,,,,,,,,,,,
pda_SqGh0,[c][00ffff][IDA][-][/c] I am receiving a weak UCH positioning signal. \n\nI'll add a [c][fbff00]marker [-][/c]to your radar and hud.,,,,,,,,,,,,,,,,
pda_S8Oae,[c][00ffff]Really abort the mission? Please confirm![-][/c]\n[c][80ffff][-][/c]You can start the mission via PDA (F1) at any time.,,,,,,,,,,,,,,,,
pda_Y8eaV,Find and access the console on the bridge. \nCheck the containers for valuable loot.,,,,,,,,,,,,,,,,
pda_8KCWw,[c][00ffff][IDA][-][/c] You should make a [c][fbff00]fly-by on all three parts[-][/c] for a better scan result.\n\n[c][fbff00]150m[-][/c] should be enough.,,,,,,,,,,,,,,,,
pda_K7Gma,The Titan,,,,,,,,,,,,,,,,
pda_cq0em,The Titan,,,,,,,,,,,,,,,,
pda_SGu0q,Me,,,,,,,,,,,,,,,,
pda_SaiO4,Me,,,,,,,,,,,,,,,,
pda_OCieK,===,,,,,,,,,,,,,,,,
pda_GC8Qe,IDA? Any scanning results?,,,,,,,,,,,,,,,,
pda_iqu8r,[c][00ffff][IDA][-][/c] Not yet.,,,,,,,,,,,,,,,,
pda_uuKKG,===,,,,,,,,,,,,,,,,
pda_S8GOe,I am afraid we can't expect the Zirax to have left anything for us to find.,,,,,,,,,,,,,,,,
pda_QOuu8,Wreckage,,,,,,,,,,,,,,,,
pda_qO4Gu,Wreckage,,,,,,,,,,,,,,,,
pda_JKiiK,Me,,,,,,,,,,,,,,,,
pda_We448,===,,,,,,,,,,,,,,,,
pda_eYkYG,[c][00ffff][IDA][-][/c]  There are some ... secret technical details of the construction they might have not found.,,,,,,,,,,,,,,,,
pda_GSGSq,IDA,,,,,,,,,,,,,,,,
pda_eGmWG,===,,,,,,,,,,,,,,,,
pda_eGaWa,"Secrets, you say?",,,,,,,,,,,,,,,,
pda_q4Wig,Wreckage,,,,,,,,,,,,,,,,
pda_GeWe8,Me,,,,,,,,,,,,,,,,
pda_qeNGG,Is there possibly  more you can tell me?,,,,,,,,,,,,,,,,
pda_ue4uw,===,,,,,,,,,,,,,,,,
pda_Ge64S,Wreckage,,,,,,,,,,,,,,,,
pda_gma4W,Me,,,,,,,,,,,,,,,,
pda_I0meS,===,,,,,,,,,,,,,,,,
pda_K8WO8,"[c][00ffff][IDA][-][/c] Sure.. I am.. wait..Commander, I do not .. there is a .. please wait .. a signal .. has activated a ..",,,,,,,,,,,,,,,,
pda_0em5i,Wreckage,,,,,,,,,,,,,,,,
pda_gaCGs,Wreckage,,,,,,,,,,,,,,,,
pda_0qGq4,IDA,,,,,,,,,,,,,,,,
pda_upWSq,Me,,,,,,,,,,,,,,,,
pda_o0iCm,===,,,,,,,,,,,,,,,,
pda_C4C88,IDA ?,,,,,,,,,,,,,,,,
pda_MKK0Y,IDA! Status report!,,,,,,,,,,,,,,,,
pda_040Wa,===,,,,,,,,,,,,,,,,
pda_KeCKC,Wreckage,,,,,,,,,,,,,,,,
pda_emC08,Wreckage,,,,,,,,,,,,,,,,
pda_8mmO4,Me,,,,,,,,,,,,,,,,
pda_4SWK0,IDA,,,,,,,,,,,,,,,,
pda_4YmaC,===,,,,,,,,,,,,,,,,
pda_qo0qK,[c][00ffff][IDA][-][/c]  .. failed .. wave .. protocol .. black .. find override code .. console!,,,,,,,,,,,,,,,,
pda_Sm8i0,===,,,,,,,,,,,,,,,,
pda_SB0GS,Wreckage,,,,,,,,,,,,,,,,
pda_4e00q,Wreckage,,,,,,,,,,,,,,,,
pda_kCG0K,Me,,,,,,,,,,,,,,,,
pda_Oiq4i,IDA,,,,,,,,,,,,,,,,
pda_aie8q,[c][00ffff]< Integrated Data Assistant .. remote access detected >[-][/c],,,,,,,,,,,,,,,,
pda_KmWuC,[c][00ffff]< Integrated Data Assistant .. emergency shutdown >[-][/c],,,,,,,,,,,,,,,,
pda_Cuut0,Wreckage,,,,,,,,,,,,,,,,
pda_GWOO8,IDA,,,,,,,,,,,,,,,,
pda_4uKCi,Find which code? Console? Where?,,,,,,,,,,,,,,,,
pda_eCWmq,===,,,,,,,,,,,,,,,,
pda_0SQCC,Wreckage,,,,,,,,,,,,,,,,
pda_O48lK,Me,,,,,,,,,,,,,,,,
pda_EaHO4,===,,,,,,,,,,,,,,,,
pda_i08ei,IDA!!,,,,,,,,,,,,,,,,
pda_0Cmc6,===,,,,,,,,,,,,,,,,
pda_auuWK,===,,,,,,,,,,,,,,,,
pda_uS8u8,Wreckage,,,,,,,,,,,,,,,,
pda_4eMm4,Me,,,,,,,,,,,,,,,,
pda_eWqum,===,,,,,,,,,,,,,,,,
pda_ue0H4,Wreckage,,,,,,,,,,,,,,,,
pda_K0u02,Me,,,,,,,,,,,,,,,,
pda_KGnk4,===,,,,,,,,,,,,,,,,
pda_GuKKC,Great.,,,,,,,,,,,,,,,,
pda_iOmaS,"... finding a [c][ffff00]code[-][/c] in a [c][ffff00]maintenance console[-][/c] in a wreckage, after more than a year of the enemy tearing it apart ...",,,,,,,,,,,,,,,,
pda_W8aAK,This whole expedition is absolutely doomed ...,,,,,,,,,,,,,,,,
pda_S8Sua,Maintenance Console,,,,,,,,,,,,,,,,
pda_aOi00,Find Token Consoles,,,,,,,,,,,,,,,,
pda_Wa4wq,Override Code,,,,,,,,,,,,,,,,
pda_SOW80,Radar Station,,,,,,,,,,,,,,,,
pda_WWqOZ,Find and Access,,,,,,,,,,,,,,,,
pda_OSeKa,Find the maintenance console (colored yellow/orange) in the center of the front part of the TITAN wreckage!\n\nNote: You can re-read the logs by facing the maintenance console and pressing F AND in the Empyriopedia/Journeybook!,,,,,,,,,,,,,,,,
pda_C4W8q,TITAN Front,,,,,,,,,,,,,,,,
pda_CW00O,There are two token consoles in each wreckage. The position is marked on your hud. \nGo closer to 2m to proceed with the mission.\n\nNote: You can re-read the logs by facing the maintenance console and pressing F AND in the Empyriopedia/Journeybook!,,,,,,,,,,,,,,,,
pda_a8CaK,Go to bridge,,,,,,,,,,,,,,,,
pda_uCKaG,Access Command Console,,,,,,,,,,,,,,,,
pda_SaauK,The command console is marked on our hud.\n\nNote: You can re-read the logs by facing the maintenance console and pressing F AND in the Empyriopedia/Journeybook!,,,,,,,,,,,,,,,,
pda_OiaaG,"So, of course these codes are distributed over the Titan. \n[c][ffff00][-][/c]\n[c][ffff00]One in each wreckage[-][/c] no doubt.",,,,,,,,,,,,,,,,
pda_Kmoaq,Go up to the bridge.,,,,,,,,,,,,,,,,
pda_me44C,Secret Entrance,,,,,,,,,,,,,,,,
pda_W0GKb,The teleporter is located up the elevator. Use it to proceed with the mission.,,,,,,,,,,,,,,,,
pda_mqWmW,[c][00ffff][IDA][-][/c]  You need to find the [c][fbff00]core room[-][/c]. Any info should be stored there!,,,,,,,,,,,,,,,,
pda_qWeeu,Pull lever,,,,,,,,,,,,,,,,
pda_CGK0q,"[c][00ffff][IDA][-][/c]  The station computer had some interesting info. The Radar Site is heavily defended, but there is a teleporter set up as a side entrance in one of the perimeter stations ... RIGHT HERE!  \n[c][fbff00][-][/c]\n[c][fbff00]Find the teleporter and use it![-][/c]",,,,,,,,,,,,,,,,
pda_W600C,Pull the lever on the wall in the Core room.,,,,,,,,,,,,,,,,
pda_e0WqK,[c][ffffff]< Access granted > [-][/c]\n[c][ffffff]\n[-][/c][c][ffffff]Mainframe teleport approved.[-][/c],,,,,,,,,,,,,,,,
pda_8e8eO,"[b][c][00ffff]Chapter 4: A Glacial Grave[-][/c][/b]\n\nGood news is always the best news!\nEnjoy the party, but don't wait for too long.\n\nIt is about time for a [c][ffffff]trip to the snow planet[-][/c], to [c][ffffff]find the wreckage of the TITAN[-][/c] and stir up some icy dust \n[i][/i]\n[i]Location: Snow Planet; Ellyon System (Starter System)[/i]",,,,,,,,,,,,,,,,
pda_u8mWq,TITAN Middle,,,,,,,,,,,,,,,,
pda_a4SOg,TITAN Rear,,,,,,,,,,,,,,,,
pda_aquiC,There are two token consoles in each wreckage. The position is marked on your hud. \nGo closer to 2m to proceed with the mission.\n\nNote: You can re-read the logs by facing the maintenance console and pressing F AND in the Empyriopedia/Journeybook!,,,,,,,,,,,,,,,,
pda_eKuC0,There are two token consoles in each wreckage. The position is marked on your hud. \nGo closer to 2m to proceed with the mission.\n\nNote: You can re-read the logs by facing the maintenance console and pressing F AND in the Empyriopedia/Journeybook!,,,,,,,,,,,,,,,,
pda_SqSea,"Now, off to the [c][ffff00]bridge[-][/c].",,,,,,,,,,,,,,,,
pda_8GCWG,150m fly by,,,,,,,,,,,,,,,,
pda_WeqC0,Front,,,,,,,,,,,,,,,,
pda_KSiiA,Middle,,,,,,,,,,,,,,,,
pda_WqiqG,Rear,,,,,,,,,,,,,,,,
pda_7m4qe,Go closer than 150m towards the FRONT part of the wreckage.,,,,,,,,,,,,,,,,
pda_Su8Cq,Go closer than 150m towards the MIDDLE part of the wreckage.,,,,,,,,,,,,,,,,
pda_4OGqO,Go closer than 150m towards the REAR part of the wreckage.,,,,,,,,,,,,,,,,
pda_Wm8Gu,[c][00ffff][IDA][-][/c]  This returned perfect results.  You should now go to the [c][fbff00]front part[-][/c] and land nearby.\n\nI have [c][fbff00]marked [-][/c]an easy [c][fbff00]entry point[-][/c].,,,,,,,,,,,,,,,,
pda_K0YKe,Wreckage,,,,,,,,,,,,,,,,
pda_GqCiG,A way in,,,,,,,,,,,,,,,,
pda_uSCiW,"Find a way inside the FRONT part of the wreckage. Follow the yellow marker, IDA has set for you.\n\n[c][ff0000]Do NOT deconstruct or destroy ANY console! This might break the mission.[-][/c]",,,,,,,,,,,,,,,,
pda_Owiu4,This is giving me goosebumps ...,,,,,,,,,,,,,,,,
pda_iaKeK,===,,,,,,,,,,,,,,,,
pda_m84Cu,===,,,,,,,,,,,,,,,,
pda_4mMGC,===,,,,,,,,,,,,,,,,
pda_i4eGa,===,,,,,,,,,,,,,,,,
pda_OOUWO,===,,,,,,,,,,,,,,,,
pda_88ii0,===,,,,,,,,,,,,,,,,
pda_qSKCK,===,,,,,,,,,,,,,,,,
pda_KWauO,===,,,,,,,,,,,,,,,,
pda_qGC4e,===,,,,,,,,,,,,,,,,
pda_iAGsm,===,,,,,,,,,,,,,,,,
pda_Ciiq0,Fly to the distillery. It is located in the same orbit as the trading station. Follow the yellow marker.,,,,,,,,,,,,,,,,
pda_Oia0i,The bartender is located next to the dancefloor.,,,,,,,,,,,,,,,,
pda_0aaSG,Manager Slick can be found on top of the club in his office. \nYou can go there from the outside or from the inside of the club.,,,,,,,,,,,,,,,,
