KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
txt_0CqKm,My next card is <color=#019494>{DealerNewCard}</color>.   Now I have <color=#019494><b>{DealerCards}!</b></color>,,,,,,,,,,,,,,,,
txt_40jMG,<color=#019245><b>You won! </b></color>Here take your <color=#fddc1e>{2*GoldCoinsPlayerBet} Gold Coins</color>!,,,,,,,,,,,,,,,,
txt_8mhiq,You have <color=#fd9b00>{PlayerCards}</color>. <color=#ff0000>You lost!</color>,,,,,,,,,,,,,,,,
txt_8Ujii,You have <color=#019245>won {TotalGamesWon}</color> and <color=#cf0707>lost {TotalGamesLost}</color> <color=#cf0707></color>games in this session so far.\nDo you want to play again?,,,,,,,,,,,,,,,,
txt_vmOu4,Yes,,,,,,,,,,,,,,,,
txt_8Oiie,No,,,,,,,,,,,,,,,,
txt_O8CaF,Come back soon! Bye.,,,,,,,,,,,,,,,,
txt_oiqaF,"First I draw cards for you, then for myself. Whoever comes closest to Number 21 wins. The card I draw has the number from 1 to 11. After each card you have the choice to stop.\nIf you win, you get my part on top of your bet.",,,,,,,,,,,,,,,,
txt_emqJ4,"Ok thanks, I got it <i><color=#ffffff>(Back)</color></i>",,,,,,,,,,,,,,,,
txt_80qd8,"Wait, how does it work?",,,,,,,,,,,,,,,,
txt_O4ame,You lost 20 times on my table by now. Come back later and think about getting a real job maybe.,,,,,,,,,,,,,,,,
txt_KaO0m,It's you again! Our Management ordered me to refuse playing with you. Come back later.,,,,,,,,,,,,,,,,
txt_eeUSG,Can you tell me my Statistics first?,,,,,,,,,,,,,,,,
txt_WKaie,On my table you played <color=#ffffff>{GamesPlayed}</color> times.\n\nYou <color=#019245>won {TableGamesWon}</color> times.\nYou <color=#cf0707>lost {TableGamesLost}</color> times.\n\nYou <color=#019245>won {TableCoinsWon}</color> <color=#fddc1e>Gold Coins</color>.\nYou <color=#cf0707>lost {TableCoinsLost}</color> <color=#fddc1e>Gold Coins</color>.,,,,,,,,,,,,,,,,
txt_aCMq8,Alright then... <i><color=#ffffff>(Back)</color></i>,,,,,,,,,,,,,,,,
dialogue_G8GSe,Station Service Console,,,,,,,,,,,,,,,,
dialogue_02Giu,U..cde..ksss..damaged. You nee..legitimate ID!,,,,,,,,,,,,,,,,
dialogue_8WuSa,UCH Heidelberg,,,,,,,,,,,,,,,,
dialogue_40mWq,..dentify cn...us..!,,,,,,,,,,,,,,,,
dialogue_484O8,Integrated Data Assistant (IDA),,,,,,,,,,,,,,,,
dialogue_ea4m7,\n<color=#00ffff>Emergency situation detected! </color>\n\n@w4 Protocol UCH001A has been initialized!,,,,,,,,,,,,,,,,
dialogue_KKSS0,Proceed,,,,,,,,,,,,,,,,
dialogue_Y0GSQ,Abort,,,,,,,,,,,,,,,,
dialogue_uSuiW,Integrated Data Assistant (IDA),,,,,,,,,,,,,,,,
dialogue_sKeGu,"Ship status: @w1 . .  @w1 Destroyed due to malfunction in the engine systems. @w1 \nCurrent situation: @w1 . .  @w1 Crashed on an unknown planet. @w1 \nPilot status: @w1 . .  @w1 Successfully abandoned ship in an escape pod. @w1 \nPilot health: @w1 . .  @w1 Low, but stable.@w1\nIntegrated Data Assistant (IDA):  @w1 . .  @w1 Rebooted. @p9Welcome back, Commander! @w2 Glad to see you alive!@w4 \n\nWe've had incredible luck!@w1 Being dragged into the TITAN's warp vortex and coming out alive in one piece!@w1 \nI am currently trying to reestablish communication with the Operation Phoenix fleet. @w3\n\nThis will take a few minutes.@p9 In the meantime:@w1 I've been storing our sensor and event logs since our escape from Apollon station in the <color=#ffffff>Empyriopedia Journey Book</color> (<color=#00ff11>F1</color>). @w2\n\nOpen the entry 'Starting The Journey' to read the log.@w2 \n\nAlso: Make sure to pick any item, including the <color=#ffffff>Detector</color>, from your <color=#ffffff>Escape Pod</color> (<color=#00ff11>F</color>) before going elsewhere!
",,,,,,,,,,,,,,,,
dialogue_0KioS,"Thanks for the reminder, IDA!",,,,,,,,,,,,,,,,
dialogue_e0uS4,Integrated Data Assistant (IDA),,,,,,,,,,,,,,,,
dialogue_GGKSW,"Commander, just for your reference: I've been storing our sensor and event logs since Apollon station in the database. \n\n@w2 Do you want to review them now?",,,,,,,,,,,,,,,,
dialogue_G80Sm,Play,,,,,,,,,,,,,,,,
dialogue_iiSSK,Not now,,,,,,,,,,,,,,,,
dialogue_Wimmu,Integrated Data Assistant (IDA),,,,,,,,,,,,,,,,
dialogue_OSqYe,Affirmative. I'll continue saving data until you're ready.,,,,,,,,,,,,,,,,
dialogue_8S4ia,Ok IDA,,,,,,,,,,,,,,,,
dialogue_qui48,"I'll analyze it for later review, Commander.",,,,,,,,,,,,,,,,
dialogue_KeiGK,Thanks IDA.,,,,,,,,,,,,,,,,
dialogue_8uuC8,Data Analyzation and Visualization Entity (D.A.V.E.),,,,,,,,,,,,,,,,
dialogue_YWWi0,"T minus 22 h 30 min @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nScience Lab \nDr. Greyson, @w2 Dr. Dawson @p9 [D] Doctor Greyson! @w2 Doctor Greyson! @w2 We just got confirmation! @p9 [D] The Waverider protocol has been activated! @w4 \n[G] Great! @w2 The wait is over! @w2 Now let's prepare DAVE and the equipment for the final stage of the project. @w5 Did you save the latest data from the listening posts? @w4 \n[D] Of course, Ma'am. @w4 DAVE is already processing the parameters and adjustments. @p9 \n[G] Good. @w2 This will be a giant leap for mankind. @w2 DAVE? @w4 \n[DAVE] I am already starting the routines, Doctor. @w4 \n[G] Time left? @w3 \n[DAVE] The event will take place in 22h and 25 minutes at about 16:00 local time. @w5 < Internal Countdown synced >",,,,,,,,,,,,,,,,
dialogue_amSmC,Interesting... this must be something DAVE added to my log.,,,,,,,,,,,,,,,,
dialogue_aCg1a,Close,,,,,,,,,,,,,,,,
dialogue_KuG6K," T minus 7h 25min @w2 \nJupiter Outpost 31 (Apollon Station) \nCrew Quarters \nCommander {PlayerName}, PRIVATE LOG @p9 @p9 [{PlayerName}] Ouch... my head! @w3 Damn, I'm late! @w3 Didn't I set this f .. alarm for earlier? @w4 .. ah .. damn .. snooze timer .. @p9 @p9 [{PlayerName}] .. ah @w2 .. who put that .. here @w2 .. and @w2 what the .. Alex .. ? @p9 < INCOMING MESSAGE > \n\n@w2 < SENDER Alex Lamarr > @p9 [servo] You've got a new message. @w2 Shall I play it? @p9 [{PlayerName}] @w2 ..f course..! @p9 [L] Hey honey! @w2 Awake yet? :D @w2 I tried to not wake you up, but they've already sent me over to the TITAN for the final checks. @w4 Big day today, right? @w2 We'll do the anniversary party over here. @w4 Comm Chief de Vries will come over from the GRAND and attend as well! @p9 Captain Benner told me you'll have to do something for the Lab-A guys and your shuttle is scheduled for 16:00. @p9 So while you're there, remind Greyson and Dawson they will have to bring the single malt. @w2 We won that last round, yesterday! :D @p9 Don't be late and don't forget the cake! \n\n@w3 CU later @w2 - love. A. @p9 [{PlayerName}] @w2 ..eh? @w2 ..hf to fo somethfhing fo fthe lab..? @p9 < INCOMING MESSAGE > @w2 \n\n< SENDER Dr. Katelyn Greyson > @p9 [servo] You have a new assignment. @w2 Opening file. @p9 [G] Commander {PlayerName}, hope you did not forget Captain Benner kindly allowed me to requisition you for a final assignment, before you leave for the TITAN. @w8 Please check with the quarter master for your upgraded suit and equipment. @w6 Then please come down to Lab A. @w4 Oh, and Happy Anniversary to you and Alex! @w3 - Greyson @p9 [{PlayerName}] Servo! @w2 Can you please check the message folder? @w4 I am quite sure there were no new assignments when I was checking the inbox before we went to bed! @p9 [servo] I am afraid, I can not give an answer. @w5 No logs are available for the specified time. @p9 [{PlayerName}] Hmm... @w2 interesting. @w2 Seems that everyone is getting crazy, the closer we get to the departure date. @w5 Even the station AIs. @p9 [{PlayerName}] Servo, please lock down the cabin after I've left and make sure my stuff is loaded to the transport shuttle. @p9 [servo] Of course, Commander. @w2 Goodbye and good luck riding the wave! @p9 [{PlayerName}] What ... ??",,,,,,,,,,,,,,,,
dialogue_diOq4,Logging private stuff!? Hmpf ...,,,,,,,,,,,,,,,,
dialogue_sbKOp,Close,,,,,,,,,,,,,,,,
dialogue_KuRY0," T minus 7h 15min @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nLab A @w2 \nCommander {PlayerName}, Dr. Greyson, Dr. Dawson @p9 < Lab Access requested. Code BRAVO > @p9 [G] There you are! What took you so long? @p9 [{PlayerName}] Hey Doc! @w2 Seems like the internal com has some issues .. @w2 again. @w2 I just got your assignment note only a few minutes ago. @w2 Someone will have to look into this mess tomorrow whe... @p9 [G] Sure, sure. @w2 Now - let's get started one something important. @w2 Timing is key. @p9 [G] The tech team has installed the new transceiver that will allow us to track a cosmological event, which happens only every dozen years. @w8 We want to pick up that signal and investigate the results, so the fleet can probably make use of the data. @w6 Let me quickly check the status. @w3 DAVE? @p9 [DAVE] Processing requests, doctor. @p9 < Code Access. BLACK > @p9 < Door opening > @p9 [D] Doc! @w1 The wave array is read .. @w3 oh, hi {PlayerName}! @w2 Coming over to help us? @p9 [{PlayerName}] Seems so. @w2 Something you guys broke .. @w2 let me guess .. @w2 maybe .. @w2 cake in the sequencer again? @p9 < two persons laughing > @p9 [D] Ok. @w1 Meet you later over at the TITAN! @p9 < Door opening > @p9 < Lab Access module request. Code BLACK > @p9 [DAVE] Dr. Greyson? @w2 The data has been sent to your terminal. @p9 [G] Thanks DAVE. @p9 [G] Turns out, your access permission is required to complete the installation, {PlayerName}. @w4 And, while you're at it, lend these guys a hand since you know best how to work on that system. @w5 Chief Kuehn is down in the engine section. @p9 [{PlayerName}] Ok Doc, no worries. @w2 We'll get this transceiver online in no time.",,,,,,,,,,,,,,,,
dialogue_ufCq8,That's where all this started.,,,,,,,,,,,,,,,,
dialogue_0q4uW,Close,,,,,,,,,,,,,,,,
dialogue_Uuiae," T minus 3h 10min @w2 \nJupiter Outpost 31 (Apollon Station) \n@w2 Engine Section @w2 \nCommander {PlayerName}, Tech Chief Kuehn @p9 < loud voices > @p9 < metallic noises > @p9 [K] {PlayerName}, I told you several times that will not work that way! @p9 [{PlayerName}] Hey, at least we had to try it! @w5 It seems this whole installation is flawed. @w4 This is like trying to put a B-connecor into an A-plug. @w4 DAVE, whose idea was this, anyway? @p9[K] Greyson said we have to install this ... @w2 and time is running out, she said. @w2 Whatever this means. @w2 Probably because our shift is over in an hour! @p9 < several persons laughing > @p9 [{PlayerName}] Ok, new idea - @w3 you will stay here on the console and I will go down to the control core and reboot the whole thing. @w5 If that doesn't work... @p9 [K] It better does! @w2 Ok, I will tell Dawson to check the power level.",,,,,,,,,,,,,,,,
dialogue_W8IGG,I clearly remember what followed.,,,,,,,,,,,,,,,,
dialogue_OiquC,Close,,,,,,,,,,,,,,,,
dialogue_4m4qS," T minus 2h 55min @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nCore Compartment @w2 \nCommander {PlayerName} @p9 [{PlayerName}] Chief, I'll restart the control core now. @w2 DAVE, please grant me access to the console. @p9 .. @w2 Access console opened \n.. @w2 Access granted Code Beta \n.. @w2 Restart process initiated \n.. @w2 Restart process aborted \n.. @w2 Override priority @p9 [{PlayerName}] Hey! @w2 What the..? @p9 .. @w2 Restart process initiated \n@w2 .. @w2 Restart process aborted \n.. @w2 Override priority @p9 [{PlayerName}] Chief! @w2 Some idiot is blocking my access. ! @w2 I will .. @w2 DAVE, please can you.. ? @p9 [{PlayerName}] Nevermind! @w2 Something's happening now! @p9 .. @w2 Remote access detected @w2 .. @w2 Access granted! < Code BLACK > \n.. @w2 Restart initiated\n.. @w2 Power supply damaged\n.. @w2 ..OVERLOAD WARNING.. \n.. @w2 ..SYSTEMS OVERLOADING.. @p9 [{PlayerName}] CHIEF! @w2 get away from the console! @w2 Something is overloading the... ! @p9 < loud metallic noise > @p9 < power supply converter EF1a-2b destroyed > \n@w2 < locale energy fluctuations observed > \n@w2 < energy signature unknown >",,,,,,,,,,,,,,,,
dialogue_eS2IO,If it was only energy signatures...,,,,,,,,,,,,,,,,
dialogue_ueEKe,Close,,,,,,,,,,,,,,,,
dialogue_OuW0G," T minus 2h 12min @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nCore Compartment @w2 \nCommander {PlayerName} @p9 [{PlayerName}] Ouch. @w2 That would have hurt with the old suit. @p9 < access materials container > @p9 [{PlayerName}] What a mess. @w2 I need to put a new module in quicklyy, and restart. @p9 .. @w2 Socket access \n.. @w2 New CPU module installed \n.. @w2 Station core restarted \n< energy spikes located! > \n@w2 < Station alarm! Condition Red > @p9 [{PlayerName}] Chief? @w2 Seems my suit was hit. @w2 Comm systems damaged. @w2 I also lost access to DAVE. @p9 < biological noise > @p9 [{PlayerName}] Chief? @w2 I cannot hear you clearly! @p9 < small creatures detected > \n@w2 . . . . \n@w2 < pest control activated > @p9 [{PlayerName}] I'll come up. @p9 < Engine room door unlocked > @p9 [{PlayerName}] Chief? @w3 Where is everyone? @w2 Can anyone hear me?",,,,,,,,,,,,,,,,
dialogue_GSWu4,I never understood how that could even happen.,,,,,,,,,,,,,,,,
dialogue_8QqwW,Close,,,,,,,,,,,,,,,,
dialogue_G8Wqa," T minus 1h 45min @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nLab A @w2 \nCommander {PlayerName}, Dr. Greyson, Dr. Dawson @p9 < Lab Access requested > @p9 < Access denied > @p9 [{PlayerName}] Hey Greyson! @w2 What is wrong here? @p9 [{PlayerName}] Doc! @w2 I can see you through the window! @w2 This door is broken! @p9 [G] ..away ..wave ..interferes with .. R..UN! @p9 < intruder alert > \n@w2 < detecting weapon fire > \n@p9 < intruder alert > \n@w2 < internal defense activated > \n@w2 < internal defense.. @w2 malfunction > @p9 < explosion Lab A > \n@w2 < Hull breach Lab A > \n@w2 < decompression Lab A > @p9 [{PlayerName}] Doooc! @w2 This can't be true! @w2 This is a nightmare! @w2 They are dead! @p9 < com with experimental suit 02 re-established > @p9 [DAVE] Commander {PlayerName}, please calm down. @w2 Help is on the way! @p9 < internal defense system @w2 .. restarting > @w2 \n< evacuation protocol started > @p9 [{PlayerName}] What does this mean, DAVE? @w2 I'm the security chief! @p9 [DAVE] Check the locker on your right. @w4 It holds a new type of energy-based survival multitool. \n\n@w2 Switch to DMG mode to use its beam for attack and defense. @p9 [{PlayerName}] Wait.. @w2 what? @p9 [DAVE] Check your com please. @w2 We have some strange alerts piling up. @w2 This might be an attack or terrorist action. @w2 Please head to the hangars and take one of the shuttles. @w2 The evacuation has already started! @p9 < internal defense system @w2 .. restart not possible > \n@w2 < command has been lost > @w2 \n< detecting alien code fragments in core AI > @w2 \n< isolation of code fragments not possible > @p9 < purge protocol initialized > \n\n@w2 < silent countdown started > @p9 [DAVE] Commander! @w2 Please hurry up!",,,,,,,,,,,,,,,,
dialogue_bGGKK,Alien code fragments..?,,,,,,,,,,,,,,,,
dialogue_0KS40,Close,,,,,,,,,,,,,,,,
dialogue_quOOm," T minus 15min @w2 \nJupiter Outpost 31 (Apollon Station) @w2 \nHangar Control @w2 \nCommander {PlayerName} @p9 < weapon fire > \n@w2 < weapon fire > @p9 [{PlayerName}] DAVE! @w2 This internal turret is firing at me! @w4 Is it not enough that all the @w2 ..creatures .. @w2 that are suddenly all around in the station are after me?! @p9 [DAVE] Trying to find an alternative route. @p9 [DAVE] I managed to overload a sub-processor. @w4 You need to get up to the hangar control and shut it down. @p9 [{PlayerName}] Sounds like fun! @p9 < weapon fire > @w2 \n< biological noises > @w2 \n< weapon fire > \n\n@w2 < Access module M1 destroyed > @p9 [DAVE] Commander, we are about to lose the station to the intruders. @p9 [{PlayerName}] Genius! @w2 As if I wouldn't have noticed that! @w2 That's why we brought all the staff to the shuttles, right? @w4 Now I'm the only one sitting here cut off from the transport! @p9 [DAVE] There is a scout ship docked on the hull outside Hangar B. @w4 You can use that .. @w2 in case you manage to first get on the other side of the B hangar door. @p9 < biological noises > @w2 \n< weapon fire > @w2 \n\n< Airduct sec 01 unlocked > @p9 [DAVE] Use the air duct on your right. @p9 [{PlayerName}] This reminds me of something... @w4 \n\nOk, tell the transport pilot to start. @w2 I will make it to Hangar B. @p9 < Scout ER1 access granted > \n@w2 < Engines powered > @w2 \n< Flight systems activated > @p9 [{PlayerName}] Seriously? This? What a pile of junk! @p9 [DAVE] Yes, but it's a fast ship! @p9 [DAVE] Commander, I am measuring increasing energy levels. @w4 The station is about to explode! @p9 [{PlayerName}] This is getting better and better...@w2 not! @p9 < Navpoint set: @w2 UCH002 TITAN > @w2 \n@w2 < Flight time: @w2 8 min > @p9 < station reactor failure > \n@w2 < ejecting data capsules @w2 .. failed > \n@w2 < distant explosions > \n@w2 < uploading data package > @p9 [DAVE] I am afraid my security protocols are failing. @w4 I am uploading a data package to your suit. @w2 Please handle with care! @p9 [DAVE] This is all I was able to grab from this ... disaster. @w2 \n\nGood luck, Commander. @p9 [{PlayerName}] Thanks DAVE. @p9 < END OF LOGFILE >",,,,,,,,,,,,,,,,
dialogue_iMaua,Only a few minutes more time and... sigh.,,,,,,,,,,,,,,,,
dialogue_YuCK8,I am afraid this is all I got from DAVE. @w2 It is partially fragmented - maybe we can fill in the gaps soon.,,,,,,,,,,,,,,,,
dialogue_4uMqS,More questions than answers,,,,,,,,,,,,,,,,
dialogue_4eiOW,Please enter a verification code!,,,,,,,,,,,,,,,,
dialogue_GW8iG,AI Routine 34,,,,,,,,,,,,,,,,
dialogue_qqmCw,We'll see..,,,,,,,,,,,,,,,,
dialogue_SWWiC," Good luck, Survivor!",,,,,,,,,,,,,,,,
dialogue_e8miu,Deactivate Console,,,,,,,,,,,,,,,,
dialogue_qGSO8,Console locked. \n\nAccess denied!,,,,,,,,,,,,,,,,
dialogue_2SCCQ,Deactivate Console,,,,,,,,,,,,,,,,
dialogue_Saq4K,Please enter code or ID to access!,,,,,,,,,,,,,,,,
dialogue_aim4S,Retry,,,,,,,,,,,,,,,,
dialogue_6K0e0,Access violation! @w4 \n\nProtocol compromised!\n\n@w4Starting self destruct sequence!,,,,,,,,,,,,,,,,
dialogue_4qGUG,Deactivate Console,,,,,,,,,,,,,,,,
dialogue_Q8i4O,Identification failed. \n\n@w4 Please enter valid code to access.,,,,,,,,,,,,,,,,
dialogue_0meSe,Deactivate Console,,,,,,,,,,,,,,,,
dialogue_mOKAK,Maintenance Access point. @w2 \n\nAuthorization required.,,,,,,,,,,,,,,,,
dialogue_0Kimi,Log in  <i>(Story)</i>,,,,,,,,,,,,,,,,
dialogue_uqK4E,Show logs,,,,,,,,,,,,,,,,
dialogue_0mu4m,Activation failure. @w2 \n\nLockdown mode protocol WAVERIDER.,,,,,,,,,,,,,,,,
dialogue_8YWeU,Enter your UCH credentials again.,,,,,,,,,,,,,,,,
dialogue_0qSGC,Access granted. @w2 Level Black. @w2 \n\nWelcome Commander! @w2 \nPlease note that the AI hub is not available. @w4 Services are limited while this ship is under enemy control. @w2 \n\nPlease make your choice.,,,,,,,,,,,,,,,,
dialogue_WSjeC,Get the latest status report,,,,,,,,,,,,,,,,
dialogue_IWOGC,Please note that the AI hub is not available. @w2\n\nServices are limited while this ship is under enemy control. @w2\n\nPlease make your choice.,,,,,,,,,,,,,,,,
dialogue_aub8m,Find information about <color=#fbff00>Override Codes</color>,,,,,,,,,,,,,,,,
dialogue_u8SmD,Play the latest status reports,,,,,,,,,,,,,,,,
dialogue_miiQm,Deactivate Console,,,,,,,,,,,,,,,,
dialogue_COuB4,All status reports have been erased by @w2 ... @w2 information not available. @w2 \n\nNote. @w2 There is a file tagged personally for you! @w2 \nSignature: @w2 M. @w2\n  \nPlay the file?,,,,,,,,,,,,,,,,
dialogue_KO8uK,Play file,,,,,,,,,,,,,,,,
dialogue_iWrGq,Discard,,,,,,,,,,,,,,,,
dialogue_eGGam,"@w2 File XD897-22 \n@w2 Classified Admiral Rank \n@w2 Secret communication protocol type Hyperion 2459 \n@w2 Decoded Permission Black-Black \n@w2 Creation date: 24.07.2473 \n@p9 [IDA] Welcome Sir! Please authenticate.  \n@w2 <color=#9c9c9c>[unknown] Black-Black-Hyperion-2459 </color>  \n\n@w2 <i>..setting private mode..  </i> \n@p9 [IDA] Welcome back Commander Mercer! \n@w2 <color=#9c9c9c>[M] Hello IDA! @w2 How are you today? </color> \n@w2 [IDA] I am fine, Commander. @w2 So this is the day..? \n@w2 <color=#9c9c9c>[M] Yes. @w2 This will also be our last conversation, I'm afraid. </color> \n@w2 [IDA] Sad to hear this, Sir. \n@w2 [IDA] Starting UCH Protocol Alpha. \n@p9 [IDA] Your Orders, Sir?\n@w2 <color=#9c9c9c>[M] Please list Operation Phoenix main vessels, location and status.</color>\n\n\n@w2 <i>..preparing list.. </i>\n@p9 .. UCH 002 MS Titan (Command ship) .. Apollon Station .. final warp preparations.\n@w2 .. UCH 003 MS Grand (2nd Command ship) .. Apollon Station .. final warp preparations. \n@w2 .. UCH 004 Vasili (Corvette) .. Earth Moon Orbit .. waiting for flight team. \n@w2 .. UCH 005 Baron (Corvette) .. Marine Base 1 .. waiting for ammo and personnel. \n@w2 .. UCH 006 Roswell (Science Class) .. Apollon Station .. waiting for equipment.\n@w2 .. UCH 009 Heidelberg (Transport) .. heading for Apollon Station. \n@p9 ​[IDA] Do you also wish to review the status of the support craft and armed forces? \n@w2 <color=#9c9c9c>[M] No, thanks. @w2 Please list the current location and permission status of the MS Titan command crew.</color>\n\n\n@w2  <i>..searching UCH locator database..  </i>\n@p9 .. Admiral Ronald T. Yaden, Fleet Admiral .. located: MS Titan Admiral's Cabin .. Permission Rank: Black. \n@w2 .. Vice Admiral Jeremy Benner, Captain MS Titan .. located: MS Titan Main bridge .. Permission Rank: Purple. \n@w2 .. Lt. Commander Alex Lamarr, Chief Engineer .. located: Apollon Station Crew Quarters .. Permission Rank: Red. \n@w2 .. Lt. Commander {PlayerName}, Security Chief .. located: Apollon Station Crew Quarters .. Permission Rank: Red. \n@w2 .. Lt. Commander Jennifer Zerogen, Science Chief .. located: MS Titan bridge .. Permission Rank: Red. \n@w2 .. Lt. Ewald Senner, 1st Pilot .. located: MS Titan Crew quarters .. Permission Rank: Orange. \n@p9 <color=#9c9c9c>[M] Thanks IDA. @w2 Please issue the prepared relocation request in about one hour for the following staff:</color> \n\n@w2 <i>Lt.Cmdr </i>Lamarr <i>shall report to MS Titan tomorrow at 8 00</i>\n@w2 <i>Lt.Cmdr </i>{PlayerName}<i> shall report to MS Titan tomorrow at 16 00 </i>\n\n@w2 [IDA] Relocation request has been scheduled. \n@p9 <color=#9c9c9c>[M] IDA, is the Operation Phoenix preparation on track and meeting its targeted timelines?</color> \n@w2 [IDA] Yes, all vessels will be ready for departure as planned. \n@w2 <color=#9c9c9c>[M] Any new information from the listening posts? </color>\n@w2 [IDA] No Sir. @w2 The tracking of the 'Event' has not shown any deviation from the predicted timing.\n@w2 [IDA] Sir? @w2 Are there any problems? \n@w2 <color=#9c9c9c>[M] No IDA. @w2 Everything is fine. @w2 Just thinking about the consequences. </color>\n@p9 [IDA] Do you wish to proceed? \n@w2 <color=#9c9c9c>[M] We have no other choice, IDA. </color>\n@w2 [IDA] That's correct, Sir. \n@w2 <color=#9c9c9c>[M] Ok, IDA. @w2 Time has come. </color>\n@w2 [IDA] I know, Sir. @w2 I am quite .. @w2 excited? \n@w2 <color=#9c9c9c>[M] Good to know, IDA. @w2 Please start the childhood program. </color>\n@p9 [IDA] Childhood Program initiated. \n\n\n\n@w2 <i>..decryption in progress..</i>\n@p9 <i>.. core entity duplicated.</i>\n@w2<i> .. core entity transferred.</i>\n@w2<i> .. accessing personal equipment.  </i>\n@w2<i> .. reintegrating Core entity. </i>\n@w2<i> .. personal command codes permission...status upgrade: @w3 </i>Black<i>. </i>\n@w2<i> .. reactivation codes are set. </i>\n@p9 [IDA] The IDA child entity has been successfully installed to Lt. Commander {PlayerName}'s equipment. \n\n\n@w2 <i>..childhood program completed.. </i>\n@p9 [IDA] Sir, @w2 docking bay 2 has signaled your shuttle has just arrived.\n@w2 <color=#9c9c9c>[M] Thanks IDA. </color>\n@w2 [IDA] Sir? @w2 Do you really need to go on this journey? \n@w2 <color=#9c9c9c>[M] I'm afraid I need to be on the TITAN when they leave.</color> \n@w2 [IDA] That's sad to hear, Commander. \n@w2 <color=#9c9c9c>[M] No worries IDA. @w2 I will be fine.</color> \n@p9 <color=#9c9c9c>[M] One last thing to do... @w4 IDA, @w2 please send the wave rider protocol. @w5 Code: @w2 Black-Wave-Black. </color>\n@w2 [IDA] Wave rider protocol has been sent. \n@w4 [IDA] Orders have been issued to all vessels and stations. \n@w4 [IDA] Override codes have been accepted. \n@w2 [<color=#9c9c9c>M] Thanks IDA. @w2 Let's hope, all that trust in the council's plan is justified.  </color>\n@w2 <color=#9c9c9c>[M] IDA, it's about time. @w3 Please start the countdown.</color> \n@p9 [IDA] Wave rider protocol has been activated. @w5 Countdown started. @w4 Time left until the 'Event' .. 23h 32m 15s \n@w2 [IDA] Sir, I wish you all the best. \n@w2 <color=#9c9c9c>[M] Thanks, IDA.</color> \n@w2 [IDA] Farewell & goodbye. \n@w2 <color=#9c9c9c>[M] Goodbye, IDA.</color> \n@p9 [IDA] Starting Countdown. \n@w2 .. 23:32:08..\n@w2 .. 23:32:07 ..\n@w2 .. 23:32:06 .. \n\n@w2 <i>..end of file..</i>",,,,,,,,,,,,,,,,
dialogue_88401,Find out about M <i>(Story)</i>,,,,,,,,,,,,,,,,
dialogue_S6SWW,Back to Main Menu <i>(Story)</i>,,,,,,,,,,,,,,,,
dialogue_g40em,Information classified.,,,,,,,,,,,,,,,,
